"","TITRE","sortie","Y"
"212","DE L'AUTRE COTE DU PERIPH",2012-12-19,2257035
"213","DE ROUILLE ET D'OS",2012-05-17,1906307
"214","DEADPOOL",2016-02-10,3761903
"215","DEADPOOL 2",2018-05-16,2603773
"216","DEMAIN TOUT COMMENCE",2016-12-07,3205424
"217","DERNIER DES TEMPLIERS (LE)",2011-01-12,1000730
"218","DERNIER LOUP (LE)",2015-02-25,1326539
"219","DERNIER MAITRE DE L'AIR (LE)",2010-07-28,1184257
"220","DERNIER SAMOURAI (LE)",2004-01-14,2201875
"221","DERNIER TRAPPEUR (LE)",2004-12-15,2223938
"222","DES HOMMES ET DES DIEUX",2010-09-08,3142886
"223","DESTINATION FINALE 4",2009-08-26,1109533
"224","DEUX FRERES",2004-04-07,3309548
"225","DEUX JOURS À TUER",2008-04-30,1088583
"226","DIABLE S'HABILLE EN PRADA (LE)",2006-09-27,2158883
"227","DIALOGUE AVEC MON JARDINIER",2007-06-06,1364036
"228","DIE HARD : BELLE JOURNEE POUR MOURIR",2013-02-20,1831763
"229","DIE HARD 4 RETOUR EN ENFER",2007-07-04,2269498
"230","DISCO",2008-04-02,2349457
"231","DISCOURS D'UN ROI (LE)",2011-02-02,3028578
"232","DISTRICT 9",2009-09-16,1108653
"233","DIVERGENTE",2014-04-09,1496092
"234","DIVERGENTE 2 : L'INSURRECTION",2015-03-18,2417013
"235","DIVERGENTE 3 : AU-DELA DU MUR",2016-03-09,2109392
"236","DIX-HUIT ANS APRES",2003-02-05,1536626
"237","DJANGO UNCHAINED",2013-01-16,4306850
"238","DOCTOR STRANGE",2016-10-26,1924147
"239","DONNE MOI DES AILES",2019-10-09,1445457
"240","DOUBLE ZERO",2004-06-16,1804483
"241","DOUBLURE (LA)",2006-03-29,3083815
"242","DRAGONS",2010-03-31,2318670
"243","DRAGONS 2",2014-07-02,3376908
"244","DRAGONS 3 : LE MONDE CACHE",2019-02-06,3387982
"245","DRIVE",2011-10-05,1541339
"246","DROLE DE NOEL DE SCROOGE (LE)",2009-11-25,1276432
"247","DUCOBU 3",2020-02-05,1502399
"248","DUMBO",2019-03-27,2348554
"249","DUNE",2021-09-15,3178018
"250","DUNKERQUE",2017-07-19,2547965
"251","ECHANGE (L')",2008-11-12,1368115
"252","ECOLE BUISSONNIERE (L')",2017-10-11,1902227
"253","EDGE OF TOMORROW",2014-06-04,1222111
"254","EFFROYABLES JARDINS",2003-03-26,1024354
"255","EIFFEL",2021-10-13,1493558
"256","ELEVE DUCOBU (L')",2011-06-22,1489782
"257","ELYSIUM",2013-08-14,1516122
"258","EN EAUX TROUBLES",2018-08-22,1618794
"259","EN ROUTE !",2015-04-15,1224306
"260","ENCANTO, LA FANTASTIQUE FAMILLE MADRIGAL",2021-11-24,2206683
"261","ENFIN VEUVE",2008-01-16,2248161
"262","ENQUETE CORSE (L')",2004-10-06,2541432
"263","ENSEMBLE, C'EST TOUT",2007-03-21,2309738
"264","ENTRE LES MURS",2008-09-24,1581407
"265","EPIC : LA BATAILLE DU ROYAUME SECRET",2013-05-22,1212733
"266","EPOUSE MOI MON POTE",2017-10-25,2470684
"267","ERAGON",2006-12-20,2782618
"268","ESPACE DETENTE",2005-02-02,1770764
"269","ETRANGE HISTOIRE DE BENJAMIN BUTTON (L')",2009-02-04,2606097
"270","EXPENDABLES : UNITE SPECIALE",2010-08-18,1650593
"271","EXPENDABLES 2 : UNITE SPECIALE",2012-08-22,1961556
