"","x"
"A4_gk_kicking",48
"A4_gk_positioning",48
"A4_gk_reflexes",48
"H4_player_name",0
"H4_birthday",0
"H4_height",0
"H4_weight",0
"A4_player_name",0
"A4_birthday",0
"A4_height",0
"A4_weight",0
"H5_overall_rating",35
"H5_potential",35
"H5_preferred_foot",35
"H5_attacking_work_rate",78
"H5_defensive_work_rate",35
"H5_crossing",35
"H5_finishing",35
"H5_heading_accuracy",35
"H5_short_passing",35
"H5_volleys",52
"H5_dribbling",35
"H5_curve",52
"H5_free_kick_accuracy",35
"H5_long_passing",35
"H5_ball_control",35
"H5_acceleration",35
"H5_sprint_speed",35
"H5_agility",52
"H5_reactions",35
"H5_balance",52
"H5_shot_power",35
"H5_jumping",52
"H5_stamina",35
"H5_strength",35
"H5_long_shots",35
"H5_aggression",35
"H5_interceptions",35
"H5_positioning",35
"H5_vision",52
"H5_penalties",35
"H5_marking",35
"H5_standing_tackle",35
"H5_sliding_tackle",52
"H5_gk_diving",35
"H5_gk_handling",35
"H5_gk_kicking",35
"H5_gk_positioning",35
"H5_gk_reflexes",35
"A5_overall_rating",38
"A5_potential",38
"A5_preferred_foot",38
"A5_attacking_work_rate",73
"A5_defensive_work_rate",38
"A5_crossing",38
"A5_finishing",38
"A5_heading_accuracy",38
"A5_short_passing",38
"A5_volleys",49
"A5_dribbling",38
"A5_curve",49
"A5_free_kick_accuracy",38
"A5_long_passing",38
"A5_ball_control",38
"A5_acceleration",38
"A5_sprint_speed",38
"A5_agility",49
"A5_reactions",38
"A5_balance",49
"A5_shot_power",38
"A5_jumping",49
"A5_stamina",38
"A5_strength",38
"A5_long_shots",38
"A5_aggression",38
"A5_interceptions",38
"A5_positioning",38
"A5_vision",49
"A5_penalties",38
"A5_marking",38
"A5_standing_tackle",38
"A5_sliding_tackle",49
"A5_gk_diving",38
"A5_gk_handling",38
"A5_gk_kicking",38
"A5_gk_positioning",38
"A5_gk_reflexes",38
"H5_player_name",3
"H5_birthday",3
"H5_height",3
"H5_weight",3
"A5_player_name",7
"A5_birthday",7
"A5_height",7
"A5_weight",7
"H6_overall_rating",15
"H6_potential",15
"H6_preferred_foot",15
"H6_attacking_work_rate",18
"H6_defensive_work_rate",15
"H6_crossing",15
"H6_finishing",15
"H6_heading_accuracy",15
"H6_short_passing",15
"H6_volleys",16
"H6_dribbling",15
"H6_curve",16
"H6_free_kick_accuracy",15
"H6_long_passing",15
"H6_ball_control",15
"H6_acceleration",15
"H6_sprint_speed",15
"H6_agility",16
"H6_reactions",15
"H6_balance",16
"H6_shot_power",15
"H6_jumping",16
"H6_stamina",15
"H6_strength",15
"H6_long_shots",15
"H6_aggression",15
"H6_interceptions",15
"H6_positioning",15
"H6_vision",16
"H6_penalties",15
"H6_marking",15
"H6_standing_tackle",15
"H6_sliding_tackle",16
"H6_gk_diving",15
"H6_gk_handling",15
"H6_gk_kicking",15
"H6_gk_positioning",15
"H6_gk_reflexes",15
"A6_overall_rating",16
"A6_potential",16
"A6_preferred_foot",16
"A6_attacking_work_rate",20
"A6_defensive_work_rate",16
"A6_crossing",16
"A6_finishing",16
"A6_heading_accuracy",16
"A6_short_passing",16
"A6_volleys",18
"A6_dribbling",16
"A6_curve",18
"A6_free_kick_accuracy",16
"A6_long_passing",16
"A6_ball_control",16
"A6_acceleration",16
"A6_sprint_speed",16
"A6_agility",18
"A6_reactions",16
"A6_balance",18
"A6_shot_power",16
"A6_jumping",18
"A6_stamina",16
"A6_strength",16
"A6_long_shots",16
"A6_aggression",16
"A6_interceptions",16
"A6_positioning",16
"A6_vision",18
"A6_penalties",16
"A6_marking",16
"A6_standing_tackle",16
"A6_sliding_tackle",18
"A6_gk_diving",16
"A6_gk_handling",16
"A6_gk_kicking",16
"A6_gk_positioning",16
"A6_gk_reflexes",16
"H6_player_name",0
"H6_birthday",0
"H6_height",0
"H6_weight",0
"A6_player_name",4
"A6_birthday",4
"A6_height",4
"A6_weight",4
"H7_overall_rating",14
"H7_potential",14
"H7_preferred_foot",14
"H7_attacking_work_rate",30
"H7_defensive_work_rate",14
"H7_crossing",14
"H7_finishing",14
"H7_heading_accuracy",14
"H7_short_passing",14
"H7_volleys",28
"H7_dribbling",14
"H7_curve",28
"H7_free_kick_accuracy",14
"H7_long_passing",14
"H7_ball_control",14
"H7_acceleration",14
"H7_sprint_speed",14
"H7_agility",28
"H7_reactions",14
"H7_balance",28
"H7_shot_power",14
"H7_jumping",28
"H7_stamina",14
"H7_strength",14
"H7_long_shots",14
"H7_aggression",14
"H7_interceptions",14
"H7_positioning",14
"H7_vision",28
"H7_penalties",14
"H7_marking",14
"H7_standing_tackle",14
"H7_sliding_tackle",28
"H7_gk_diving",14
"H7_gk_handling",14
"H7_gk_kicking",14
"H7_gk_positioning",14
"H7_gk_reflexes",14
"A7_overall_rating",28
"A7_potential",28
"A7_preferred_foot",28
"A7_attacking_work_rate",44
"A7_defensive_work_rate",28
"A7_crossing",28
"A7_finishing",28
"A7_heading_accuracy",28
"A7_short_passing",28
"A7_volleys",42
"A7_dribbling",28
"A7_curve",42
"A7_free_kick_accuracy",28
"A7_long_passing",28
"A7_ball_control",28
"A7_acceleration",28
"A7_sprint_speed",28
"A7_agility",42
"A7_reactions",28
"A7_balance",42
"A7_shot_power",28
"A7_jumping",42
"A7_stamina",28
"A7_strength",28
"A7_long_shots",28
"A7_aggression",28
"A7_interceptions",28
"A7_positioning",28
"A7_vision",42
"A7_penalties",28
"A7_marking",28
"A7_standing_tackle",28
"A7_sliding_tackle",42
"A7_gk_diving",28
"A7_gk_handling",28
"A7_gk_kicking",28
"A7_gk_positioning",28
"A7_gk_reflexes",28
"H7_player_name",5
"H7_birthday",5
"H7_height",5
"H7_weight",5
"A7_player_name",7
"A7_birthday",7
"A7_height",7
"A7_weight",7
"H8_overall_rating",31
"H8_potential",31
"H8_preferred_foot",31
"H8_attacking_work_rate",49
"H8_defensive_work_rate",31
"H8_crossing",31
"H8_finishing",31
"H8_heading_accuracy",31
"H8_short_passing",31
"H8_volleys",47
"H8_dribbling",31
"H8_curve",47
"H8_free_kick_accuracy",31
"H8_long_passing",31
"H8_ball_control",31
"H8_acceleration",31
"H8_sprint_speed",31
"H8_agility",47
"H8_reactions",31
"H8_balance",47
"H8_shot_power",31
"H8_jumping",47
"H8_stamina",31
"H8_strength",31
"H8_long_shots",31
"H8_aggression",31
"H8_interceptions",31
"H8_positioning",31
"H8_vision",47
"H8_penalties",31
"H8_marking",31
"H8_standing_tackle",31
"H8_sliding_tackle",47
"H8_gk_diving",31
"H8_gk_handling",31
"H8_gk_kicking",31
"H8_gk_positioning",31
"H8_gk_reflexes",31
"A8_overall_rating",18
"A8_potential",18
"A8_preferred_foot",18
"A8_attacking_work_rate",49
"A8_defensive_work_rate",18
"A8_crossing",18
"A8_finishing",18
"A8_heading_accuracy",18
"A8_short_passing",18
"A8_volleys",40
"A8_dribbling",18
"A8_curve",40
"A8_free_kick_accuracy",18
"A8_long_passing",18
"A8_ball_control",18
"A8_acceleration",18
"A8_sprint_speed",18
"A8_agility",40
"A8_reactions",18
"A8_balance",40
"A8_shot_power",18
"A8_jumping",40
"A8_stamina",18
"A8_strength",18
"A8_long_shots",18
"A8_aggression",18
"A8_interceptions",18
"A8_positioning",18
"A8_vision",40
"A8_penalties",18
"A8_marking",18
"A8_standing_tackle",18
"A8_sliding_tackle",40
"A8_gk_diving",18
"A8_gk_handling",18
"A8_gk_kicking",18
"A8_gk_positioning",18
"A8_gk_reflexes",18
"H8_player_name",7
"H8_birthday",7
"H8_height",7
"H8_weight",7
"A8_player_name",2
"A8_birthday",2
"A8_height",2
"A8_weight",2
"H9_overall_rating",12
"H9_potential",12
"H9_preferred_foot",12
"H9_attacking_work_rate",27
"H9_defensive_work_rate",12
"H9_crossing",12
"H9_finishing",12
"H9_heading_accuracy",12
"H9_short_passing",12
"H9_volleys",18
"H9_dribbling",12
"H9_curve",18
"H9_free_kick_accuracy",12
"H9_long_passing",12
"H9_ball_control",12
"H9_acceleration",12
"H9_sprint_speed",12
"H9_agility",18
"H9_reactions",12
"H9_balance",18
"H9_shot_power",12
"H9_jumping",18
"H9_stamina",12
"H9_strength",12
"H9_long_shots",12
"H9_aggression",12
"H9_interceptions",12
"H9_positioning",12
"H9_vision",18
"H9_penalties",12
"H9_marking",12
"H9_standing_tackle",12
"H9_sliding_tackle",18
"H9_gk_diving",12
"H9_gk_handling",12
"H9_gk_kicking",12
"H9_gk_positioning",12
"H9_gk_reflexes",12
"A9_overall_rating",19
"A9_potential",19
"A9_preferred_foot",19
"A9_attacking_work_rate",32
"A9_defensive_work_rate",19
"A9_crossing",19
"A9_finishing",19
"A9_heading_accuracy",19
"A9_short_passing",19
"A9_volleys",22
"A9_dribbling",19
"A9_curve",22
"A9_free_kick_accuracy",19
"A9_long_passing",19
"A9_ball_control",19
"A9_acceleration",19
"A9_sprint_speed",19
"A9_agility",22
"A9_reactions",19
"A9_balance",22
"A9_shot_power",19
"A9_jumping",22
"A9_stamina",19
"A9_strength",19
"A9_long_shots",19
"A9_aggression",19
"A9_interceptions",19
"A9_positioning",19
"A9_vision",22
"A9_penalties",19
"A9_marking",19
"A9_standing_tackle",19
"A9_sliding_tackle",22
"A9_gk_diving",19
"A9_gk_handling",19
"A9_gk_kicking",19
"A9_gk_positioning",19
"A9_gk_reflexes",19
"H9_player_name",2
"H9_birthday",2
"H9_height",2
"H9_weight",2
"A9_player_name",6
"A9_birthday",6
"A9_height",6
"A9_weight",6
"H10_overall_rating",30
"H10_potential",30
"H10_preferred_foot",30
"H10_attacking_work_rate",53
"H10_defensive_work_rate",30
"H10_crossing",30
"H10_finishing",30
"H10_heading_accuracy",30
"H10_short_passing",30
"H10_volleys",40
"H10_dribbling",30
"H10_curve",40
"H10_free_kick_accuracy",30
"H10_long_passing",30
"H10_ball_control",30
"H10_acceleration",30
"H10_sprint_speed",30
"H10_agility",40
"H10_reactions",30
"H10_balance",40
"H10_shot_power",30
"H10_jumping",40
"H10_stamina",30
"H10_strength",30
"H10_long_shots",30
"H10_aggression",30
"H10_interceptions",30
"H10_positioning",30
"H10_vision",40
"H10_penalties",30
"H10_marking",30
"H10_standing_tackle",30
"H10_sliding_tackle",40
"H10_gk_diving",30
"H10_gk_handling",30
"H10_gk_kicking",30
"H10_gk_positioning",30
"H10_gk_reflexes",30
"A10_overall_rating",26
"A10_potential",26
"A10_preferred_foot",26
"A10_attacking_work_rate",60
"A10_defensive_work_rate",26
"A10_crossing",26
"A10_finishing",26
"A10_heading_accuracy",26
"A10_short_passing",26
"A10_volleys",45
"A10_dribbling",26
"A10_curve",45
"A10_free_kick_accuracy",26
"A10_long_passing",26
"A10_ball_control",26
"A10_acceleration",26
"A10_sprint_speed",26
"A10_agility",45
"A10_reactions",26
"A10_balance",45
"A10_shot_power",26
"A10_jumping",45
"A10_stamina",26
"A10_strength",26
"A10_long_shots",26
"A10_aggression",26
"A10_interceptions",26
"A10_positioning",26
"A10_vision",45
"A10_penalties",26
"A10_marking",26
"A10_standing_tackle",26
"A10_sliding_tackle",45
"A10_gk_diving",26
"A10_gk_handling",26
"A10_gk_kicking",26
"A10_gk_positioning",26
"A10_gk_reflexes",26
"H10_player_name",7
"H10_birthday",7
"H10_height",7
"H10_weight",7
"A10_player_name",8
"A10_birthday",8
"A10_height",8
"A10_weight",8
"H11_overall_rating",40
"H11_potential",40
"H11_preferred_foot",40
"H11_attacking_work_rate",58
"H11_defensive_work_rate",40
"H11_crossing",40
"H11_finishing",40
"H11_heading_accuracy",40
"H11_short_passing",40
"H11_volleys",58
"H11_dribbling",40
"H11_curve",58
"H11_free_kick_accuracy",40
"H11_long_passing",40
"H11_ball_control",40
"H11_acceleration",40
"H11_sprint_speed",40
"H11_agility",58
"H11_reactions",40
"H11_balance",58
"H11_shot_power",40
"H11_jumping",58
"H11_stamina",40
"H11_strength",40
"H11_long_shots",40
"H11_aggression",40
"H11_interceptions",40
"H11_positioning",40
"H11_vision",58
"H11_penalties",40
"H11_marking",40
"H11_standing_tackle",40
"H11_sliding_tackle",58
"H11_gk_diving",40
"H11_gk_handling",40
"H11_gk_kicking",40
"H11_gk_positioning",40
"H11_gk_reflexes",40
"A11_overall_rating",41
"A11_potential",41
"A11_preferred_foot",41
"A11_attacking_work_rate",57
"A11_defensive_work_rate",41
"A11_crossing",41
"A11_finishing",41
"A11_heading_accuracy",41
"A11_short_passing",41
"A11_volleys",57
"A11_dribbling",41
"A11_curve",57
"A11_free_kick_accuracy",41
"A11_long_passing",41
"A11_ball_control",41
"A11_acceleration",41
"A11_sprint_speed",41
"A11_agility",57
"A11_reactions",41
"A11_balance",57
"A11_shot_power",41
"A11_jumping",57
"A11_stamina",41
"A11_strength",41
"A11_long_shots",41
"A11_aggression",41
"A11_interceptions",41
"A11_positioning",41
"A11_vision",57
"A11_penalties",41
"A11_marking",41
"A11_standing_tackle",41
"A11_sliding_tackle",57
"A11_gk_diving",41
"A11_gk_handling",41
"A11_gk_kicking",41
"A11_gk_positioning",41
"A11_gk_reflexes",41
"H11_player_name",1
"H11_birthday",1
"H11_height",1
"H11_weight",1
"A11_player_name",5
"A11_birthday",5
"A11_height",5
"A11_weight",5
"Y",0
