"","x"
"767","A8_positioning"
"768","A8_vision"
"769","A8_penalties"
"770","A8_marking"
"771","A8_standing_tackle"
"772","A8_sliding_tackle"
"773","A8_gk_diving"
"774","A8_gk_handling"
"775","A8_gk_kicking"
"776","A8_gk_positioning"
"777","A8_gk_reflexes"
"778","H8_player_name"
"779","H8_birthday"
"780","H8_height"
"781","H8_weight"
"782","A8_player_name"
"783","A8_birthday"
"784","A8_height"
"785","A8_weight"
"786","H9_overall_rating"
"787","H9_potential"
"788","H9_preferred_foot"
"789","H9_attacking_work_rate"
"790","H9_defensive_work_rate"
"791","H9_crossing"
"792","H9_finishing"
"793","H9_heading_accuracy"
"794","H9_short_passing"
"795","H9_volleys"
"796","H9_dribbling"
"797","H9_curve"
"798","H9_free_kick_accuracy"
"799","H9_long_passing"
"800","H9_ball_control"
"801","H9_acceleration"
"802","H9_sprint_speed"
"803","H9_agility"
"804","H9_reactions"
"805","H9_balance"
"806","H9_shot_power"
"807","H9_jumping"
"808","H9_stamina"
"809","H9_strength"
"810","H9_long_shots"
"811","H9_aggression"
"812","H9_interceptions"
"813","H9_positioning"
"814","H9_vision"
"815","H9_penalties"
"816","H9_marking"
"817","H9_standing_tackle"
"818","H9_sliding_tackle"
"819","H9_gk_diving"
"820","H9_gk_handling"
"821","H9_gk_kicking"
"822","H9_gk_positioning"
"823","H9_gk_reflexes"
"824","A9_overall_rating"
"825","A9_potential"
"826","A9_preferred_foot"
"827","A9_attacking_work_rate"
"828","A9_defensive_work_rate"
"829","A9_crossing"
"830","A9_finishing"
"831","A9_heading_accuracy"
"832","A9_short_passing"
"833","A9_volleys"
"834","A9_dribbling"
"835","A9_curve"
"836","A9_free_kick_accuracy"
"837","A9_long_passing"
"838","A9_ball_control"
"839","A9_acceleration"
"840","A9_sprint_speed"
"841","A9_agility"
"842","A9_reactions"
"843","A9_balance"
"844","A9_shot_power"
"845","A9_jumping"
"846","A9_stamina"
"847","A9_strength"
"848","A9_long_shots"
"849","A9_aggression"
"850","A9_interceptions"
"851","A9_positioning"
"852","A9_vision"
"853","A9_penalties"
"854","A9_marking"
"855","A9_standing_tackle"
"856","A9_sliding_tackle"
"857","A9_gk_diving"
"858","A9_gk_handling"
"859","A9_gk_kicking"
"860","A9_gk_positioning"
"861","A9_gk_reflexes"
"862","H9_player_name"
"863","H9_birthday"
"864","H9_height"
"865","H9_weight"
"866","A9_player_name"
"867","A9_birthday"
"868","A9_height"
"869","A9_weight"
"870","H10_overall_rating"
"871","H10_potential"
"872","H10_preferred_foot"
"873","H10_attacking_work_rate"
"874","H10_defensive_work_rate"
"875","H10_crossing"
"876","H10_finishing"
"877","H10_heading_accuracy"
"878","H10_short_passing"
"879","H10_volleys"
"880","H10_dribbling"
"881","H10_curve"
"882","H10_free_kick_accuracy"
"883","H10_long_passing"
"884","H10_ball_control"
"885","H10_acceleration"
"886","H10_sprint_speed"
"887","H10_agility"
"888","H10_reactions"
"889","H10_balance"
"890","H10_shot_power"
"891","H10_jumping"
"892","H10_stamina"
"893","H10_strength"
"894","H10_long_shots"
"895","H10_aggression"
"896","H10_interceptions"
"897","H10_positioning"
"898","H10_vision"
"899","H10_penalties"
"900","H10_marking"
"901","H10_standing_tackle"
"902","H10_sliding_tackle"
"903","H10_gk_diving"
"904","H10_gk_handling"
"905","H10_gk_kicking"
"906","H10_gk_positioning"
"907","H10_gk_reflexes"
"908","A10_overall_rating"
"909","A10_potential"
"910","A10_preferred_foot"
"911","A10_attacking_work_rate"
"912","A10_defensive_work_rate"
"913","A10_crossing"
"914","A10_finishing"
"915","A10_heading_accuracy"
"916","A10_short_passing"
"917","A10_volleys"
"918","A10_dribbling"
"919","A10_curve"
"920","A10_free_kick_accuracy"
"921","A10_long_passing"
"922","A10_ball_control"
"923","A10_acceleration"
"924","A10_sprint_speed"
"925","A10_agility"
"926","A10_reactions"
"927","A10_balance"
"928","A10_shot_power"
"929","A10_jumping"
"930","A10_stamina"
"931","A10_strength"
"932","A10_long_shots"
"933","A10_aggression"
"934","A10_interceptions"
"935","A10_positioning"
"936","A10_vision"
"937","A10_penalties"
"938","A10_marking"
"939","A10_standing_tackle"
"940","A10_sliding_tackle"
"941","A10_gk_diving"
"942","A10_gk_handling"
"943","A10_gk_kicking"
"944","A10_gk_positioning"
"945","A10_gk_reflexes"
"946","H10_player_name"
"947","H10_birthday"
"948","H10_height"
"949","H10_weight"
"950","A10_player_name"
"951","A10_birthday"
"952","A10_height"
"953","A10_weight"
"954","H11_overall_rating"
"955","H11_potential"
"956","H11_preferred_foot"
"957","H11_attacking_work_rate"
"958","H11_defensive_work_rate"
"959","H11_crossing"
"960","H11_finishing"
"961","H11_heading_accuracy"
"962","H11_short_passing"
"963","H11_volleys"
"964","H11_dribbling"
"965","H11_curve"
"966","H11_free_kick_accuracy"
"967","H11_long_passing"
"968","H11_ball_control"
"969","H11_acceleration"
"970","H11_sprint_speed"
"971","H11_agility"
"972","H11_reactions"
"973","H11_balance"
"974","H11_shot_power"
"975","H11_jumping"
"976","H11_stamina"
"977","H11_strength"
"978","H11_long_shots"
"979","H11_aggression"
"980","H11_interceptions"
"981","H11_positioning"
"982","H11_vision"
"983","H11_penalties"
"984","H11_marking"
"985","H11_standing_tackle"
"986","H11_sliding_tackle"
"987","H11_gk_diving"
"988","H11_gk_handling"
"989","H11_gk_kicking"
"990","H11_gk_positioning"
"991","H11_gk_reflexes"
"992","A11_overall_rating"
"993","A11_potential"
"994","A11_preferred_foot"
"995","A11_attacking_work_rate"
"996","A11_defensive_work_rate"
"997","A11_crossing"
"998","A11_finishing"
"999","A11_heading_accuracy"
"1000","A11_short_passing"
"1001","A11_volleys"
"1002","A11_dribbling"
"1003","A11_curve"
"1004","A11_free_kick_accuracy"
"1005","A11_long_passing"
"1006","A11_ball_control"
"1007","A11_acceleration"
"1008","A11_sprint_speed"
"1009","A11_agility"
"1010","A11_reactions"
"1011","A11_balance"
"1012","A11_shot_power"
"1013","A11_jumping"
"1014","A11_stamina"
"1015","A11_strength"
"1016","A11_long_shots"
"1017","A11_aggression"
"1018","A11_interceptions"
"1019","A11_positioning"
"1020","A11_vision"
"1021","A11_penalties"
"1022","A11_marking"
"1023","A11_standing_tackle"
"1024","A11_sliding_tackle"
"1025","A11_gk_diving"
"1026","A11_gk_handling"
"1027","A11_gk_kicking"
"1028","A11_gk_positioning"
"1029","A11_gk_reflexes"
"1030","H11_player_name"
"1031","H11_birthday"
"1032","H11_height"
"1033","H11_weight"
"1034","A11_player_name"
"1035","A11_birthday"
"1036","A11_height"
"1037","A11_weight"
