"","x"
"582","A7_stamina"
"583","A7_strength"
"584","A7_long_shots"
"585","A7_aggression"
"586","A7_interceptions"
"587","A7_positioning"
"588","A7_vision"
"589","A7_penalties"
"590","A7_marking"
"591","A7_standing_tackle"
"592","A7_sliding_tackle"
"593","A7_gk_diving"
"594","A7_gk_handling"
"595","A7_gk_kicking"
"596","A7_gk_positioning"
"597","A7_gk_reflexes"
"598","H7_height"
"599","H7_weight"
"600","A7_height"
"601","A7_weight"
"602","H8_overall_rating"
"603","H8_potential"
"604","H8_preferred_foot"
"605","H8_attacking_work_rate"
"606","H8_defensive_work_rate"
"607","H8_crossing"
"608","H8_finishing"
"609","H8_heading_accuracy"
"610","H8_short_passing"
"611","H8_volleys"
"612","H8_dribbling"
"613","H8_curve"
"614","H8_free_kick_accuracy"
"615","H8_long_passing"
"616","H8_ball_control"
"617","H8_acceleration"
"618","H8_sprint_speed"
"619","H8_agility"
"620","H8_reactions"
"621","H8_balance"
"622","H8_shot_power"
"623","H8_jumping"
"624","H8_stamina"
"625","H8_strength"
"626","H8_long_shots"
"627","H8_aggression"
"628","H8_interceptions"
"629","H8_positioning"
"630","H8_vision"
"631","H8_penalties"
"632","H8_marking"
"633","H8_standing_tackle"
"634","H8_sliding_tackle"
"635","H8_gk_diving"
"636","H8_gk_handling"
"637","H8_gk_kicking"
"638","H8_gk_positioning"
"639","H8_gk_reflexes"
"640","A8_overall_rating"
"641","A8_potential"
"642","A8_preferred_foot"
"643","A8_attacking_work_rate"
"644","A8_defensive_work_rate"
"645","A8_crossing"
"646","A8_finishing"
"647","A8_heading_accuracy"
"648","A8_short_passing"
"649","A8_volleys"
"650","A8_dribbling"
"651","A8_curve"
"652","A8_free_kick_accuracy"
"653","A8_long_passing"
"654","A8_ball_control"
"655","A8_acceleration"
"656","A8_sprint_speed"
"657","A8_agility"
"658","A8_reactions"
"659","A8_balance"
"660","A8_shot_power"
"661","A8_jumping"
"662","A8_stamina"
"663","A8_strength"
"664","A8_long_shots"
"665","A8_aggression"
"666","A8_interceptions"
"667","A8_positioning"
"668","A8_vision"
"669","A8_penalties"
"670","A8_marking"
"671","A8_standing_tackle"
"672","A8_sliding_tackle"
"673","A8_gk_diving"
"674","A8_gk_handling"
"675","A8_gk_kicking"
"676","A8_gk_positioning"
"677","A8_gk_reflexes"
"678","H8_height"
"679","H8_weight"
"680","A8_height"
"681","A8_weight"
"682","H9_overall_rating"
"683","H9_potential"
"684","H9_preferred_foot"
"685","H9_attacking_work_rate"
"686","H9_defensive_work_rate"
"687","H9_crossing"
"688","H9_finishing"
"689","H9_heading_accuracy"
"690","H9_short_passing"
"691","H9_volleys"
"692","H9_dribbling"
"693","H9_curve"
"694","H9_free_kick_accuracy"
"695","H9_long_passing"
"696","H9_ball_control"
"697","H9_acceleration"
"698","H9_sprint_speed"
"699","H9_agility"
"700","H9_reactions"
"701","H9_balance"
"702","H9_shot_power"
"703","H9_jumping"
"704","H9_stamina"
"705","H9_strength"
"706","H9_long_shots"
"707","H9_aggression"
"708","H9_interceptions"
"709","H9_positioning"
"710","H9_vision"
"711","H9_penalties"
"712","H9_marking"
"713","H9_standing_tackle"
"714","H9_sliding_tackle"
"715","H9_gk_diving"
"716","H9_gk_handling"
"717","H9_gk_kicking"
"718","H9_gk_positioning"
"719","H9_gk_reflexes"
"720","A9_overall_rating"
"721","A9_potential"
"722","A9_preferred_foot"
"723","A9_attacking_work_rate"
"724","A9_defensive_work_rate"
"725","A9_crossing"
"726","A9_finishing"
"727","A9_heading_accuracy"
"728","A9_short_passing"
"729","A9_volleys"
"730","A9_dribbling"
"731","A9_curve"
"732","A9_free_kick_accuracy"
"733","A9_long_passing"
"734","A9_ball_control"
"735","A9_acceleration"
"736","A9_sprint_speed"
"737","A9_agility"
"738","A9_reactions"
"739","A9_balance"
"740","A9_shot_power"
"741","A9_jumping"
